iter	Passed	Remaining
0	0	86
1	1	83
2	2	81
3	3	77
4	3	75
5	4	72
6	5	72
7	6	72
8	7	77
9	8	76
10	9	74
11	9	72
12	11	74
13	11	73
14	12	72
15	13	71
16	14	69
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	60
24	19	59
25	20	59
26	21	58
27	22	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	60	17
78	61	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
